model,horizon,decile,n,predicted_persistence,observed_persistence
M0,365,1,2447,0.4443071207524725,0.5991009399264405
M0,365,2,2440,0.4651434077374632,0.6139344262295082
M0,365,3,2445,0.4758041353066492,0.5881390593047034
M0,365,4,2474,0.48591491897963984,0.6156022635408246
M0,365,5,2410,0.49714381983238437,0.6199170124481328
M0,365,6,2443,0.5095116196989112,0.6582071223905035
M0,365,7,2443,0.5203379208042774,0.6627097830536226
M0,365,8,2443,0.5323969133417344,0.6590257879656161
M0,365,9,2443,0.5493076843955023,0.6803110929185427
M0,365,10,2443,0.5798114763414517,0.6758084322554236
M1,365,1,2444,0.32637284167848657,0.43453355155482815
M1,365,2,2443,0.4648318913293248,0.5742939009414654
M1,365,3,2443,0.511458536110128,0.6320098239869013
M1,365,4,2447,0.5253958551529664,0.6281160604822231
M1,365,5,2444,0.538109039924779,0.6534369885433715
M1,365,6,2484,0.5517125302790876,0.6497584541062802
M1,365,7,2397,0.5650389282857423,0.6912807676261994
M1,365,8,2443,0.5779027675029631,0.697912402783463
M1,365,9,2443,0.5954749494153598,0.7073270568972575
M1,365,10,2443,0.6343810265222851,0.7048710601719198
